constructorResultsId,raceId,constructorId,points,status,name,year
13948,341,9,40.0,\N,Red Bull,2010
13949,341,6,26.0,\N,Ferrari,2010
13950,341,131,12.0,\N,Mercedes,2010
13951,341,1,10.0,\N,McLaren,2010
13952,341,10,6.0,\N,Force India,2010
13953,341,4,4.0,\N,Renault,2010
13954,341,3,2.0,\N,Williams,2010
13955,341,5,1.0,\N,Toro Rosso,2010
13956,341,15,0.0,\N,Sauber,2010
13957,341,205,0.0,\N,Lotus,2010
13958,341,166,0.0,\N,Virgin,2010
13959,341,164,0.0,\N,HRT,2010
13960,342,9,43.0,\N,Red Bull,2010
13961,342,4,15.0,\N,Renault,2010
13962,342,6,20.0,\N,Ferrari,2010
13963,342,1,10.0,\N,McLaren,2010
13964,342,131,6.0,\N,Mercedes,2010
13965,342,10,6.0,\N,Force India,2010
13966,342,5,1.0,\N,Toro Rosso,2010
13967,342,164,0.0,\N,HRT,2010
13968,342,205,0.0,\N,Lotus,2010
13969,342,3,0.0,\N,Williams,2010
13970,342,15,0.0,\N,Sauber,2010
13971,342,166,0.0,\N,Virgin,2010
13972,343,1,43.0,\N,McLaren,2010
13973,343,9,15.0,\N,Red Bull,2010
13974,343,131,22.0,\N,Mercedes,2010
13975,343,4,8.0,\N,Renault,2010
13976,343,6,10.0,\N,Ferrari,2010
13977,343,10,2.0,\N,Force India,2010
13978,343,15,1.0,\N,Sauber,2010
13979,343,5,0.0,\N,Toro Rosso,2010
13980,343,3,0.0,\N,Williams,2010
13981,343,166,0.0,\N,Virgin,2010
13982,343,164,0.0,\N,HRT,2010
13983,343,205,0.0,\N,Lotus,2010
13984,344,1,43.0,\N,McLaren,2010
13985,344,6,15.0,\N,Ferrari,2010
13986,344,9,22.0,\N,Red Bull,2010
13987,344,131,8.0,\N,Mercedes,2010
13988,344,4,6.0,\N,Renault,2010
13989,344,5,4.0,\N,Toro Rosso,2010
13990,344,10,3.0,\N,Force India,2010
13991,344,3,0.0,\N,Williams,2010
13992,344,205,0.0,\N,Lotus,2010
13993,344,164,0.0,\N,HRT,2010
13994,344,166,0.0,\N,Virgin,2010
13995,344,15,0.0,\N,Sauber,2010
13996,345,9,25.0,\N,Red Bull,2010
13997,345,1,33.0,\N,McLaren,2010
13998,345,3,12.0,\N,Williams,2010
13999,345,4,10.0,\N,Renault,2010
14000,345,10,8.0,\N,Force India,2010
14001,345,15,6.0,\N,Sauber,2010
14002,345,6,4.0,\N,Ferrari,2010
14003,345,5,2.0,\N,Toro Rosso,2010
14004,345,131,1.0,\N,Mercedes,2010
14005,345,166,0.0,\N,Virgin,2010
14006,345,164,0.0,\N,HRT,2010
14007,345,205,0.0,\N,Lotus,2010
14008,346,9,31.0,\N,Red Bull,2010
14009,346,1,30.0,\N,McLaren,2010
14010,346,131,17.0,\N,Mercedes,2010
14011,346,3,11.0,\N,Williams,2010
14012,346,15,8.0,\N,Sauber,2010
14013,346,10,4.0,\N,Force India,2010
14014,346,5,0.0,\N,Toro Rosso,2010
14015,346,4,0.0,\N,Renault,2010
14016,346,6,0.0,\N,Ferrari,2010
14017,346,205,0.0,\N,Lotus,2010
14018,346,166,0.0,\N,Virgin,2010
14019,346,164,0.0,\N,HRT,2010
14020,347,6,43.0,\N,Ferrari,2010
14021,347,9,23.0,\N,Red Bull,2010
14022,347,1,22.0,\N,McLaren,2010
14023,347,4,7.0,\N,Renault,2010
14024,347,131,6.0,\N,Mercedes,2010
14025,347,15,0.0,\N,Sauber,2010
14026,347,3,0.0,\N,Williams,2010
14027,347,5,0.0,\N,Toro Rosso,2010
14028,347,10,0.0,\N,Force India,2010
14029,347,166,0.0,\N,Virgin,2010
14030,347,164,0.0,\N,HRT,2010
14031,347,205,0.0,\N,Lotus,2010
14032,348,9,40.0,\N,Red Bull,2010
14033,348,6,30.0,\N,Ferrari,2010
14034,348,4,10.0,\N,Renault,2010
14035,348,3,9.0,\N,Williams,2010
14036,348,15,8.0,\N,Sauber,2010
14037,348,1,4.0,\N,McLaren,2010
14038,348,131,0.0,\N,Mercedes,2010
14039,348,5,0.0,\N,Toro Rosso,2010
14040,348,10,0.0,\N,Force India,2010
14041,348,205,0.0,\N,Lotus,2010
14042,348,166,0.0,\N,Virgin,2010
14043,348,164,0.0,\N,HRT,2010
14044,349,1,25.0,\N,McLaren,2010
14045,349,9,18.0,\N,Red Bull,2010
14046,349,4,17.0,\N,Renault,2010
14047,349,6,12.0,\N,Ferrari,2010
14048,349,10,11.0,\N,Force India,2010
14049,349,131,14.0,\N,Mercedes,2010
14050,349,15,4.0,\N,Sauber,2010
14051,349,5,0.0,\N,Toro Rosso,2010
14052,349,3,0.0,\N,Williams,2010
14053,349,205,0.0,\N,Lotus,2010
14054,349,166,0.0,\N,Virgin,2010
14055,349,164,0.0,\N,HRT,2010
14056,350,6,40.0,\N,Ferrari,2010
14057,350,1,18.0,\N,McLaren,2010
14058,350,9,20.0,\N,Red Bull,2010
14059,350,131,12.0,\N,Mercedes,2010
14060,350,3,7.0,\N,Williams,2010
14061,350,4,4.0,\N,Renault,2010
14062,350,5,0.0,\N,Toro Rosso,2010
14063,350,10,0.0,\N,Force India,2010
14064,350,15,0.0,\N,Sauber,2010
14065,350,166,0.0,\N,Virgin,2010
14066,350,205,0.0,\N,Lotus,2010
14067,350,164,0.0,\N,HRT,2010
14068,351,6,29.0,\N,Ferrari,2010
14069,351,9,33.0,\N,Red Bull,2010
14070,351,1,12.0,\N,McLaren,2010
14071,351,131,10.0,\N,Mercedes,2010
14072,351,3,9.0,\N,Williams,2010
14073,351,4,6.0,\N,Renault,2010
14074,351,10,2.0,\N,Force India,2010
14075,351,5,0.0,\N,Toro Rosso,2010
14076,351,166,0.0,\N,Virgin,2010
14077,351,205,0.0,\N,Lotus,2010
14078,351,15,0.0,\N,Sauber,2010
14079,351,164,0.0,\N,HRT,2010
14080,352,9,43.0,\N,Red Bull,2010
14081,352,6,15.0,\N,Ferrari,2010
14082,352,1,22.0,\N,McLaren,2010
14083,352,131,8.0,\N,Mercedes,2010
14084,352,15,10.0,\N,Sauber,2010
14085,352,3,2.0,\N,Williams,2010
14086,352,5,1.0,\N,Toro Rosso,2010
14087,352,205,0.0,\N,Lotus,2010
14088,352,166,0.0,\N,Virgin,2010
14089,352,164,0.0,\N,HRT,2010
14090,352,10,0.0,\N,Force India,2010
14091,352,4,0.0,\N,Renault,2010
14092,353,6,40.0,\N,Ferrari,2010
14093,353,1,18.0,\N,McLaren,2010
14094,353,131,12.0,\N,Mercedes,2010
14095,353,4,10.0,\N,Renault,2010
14096,353,10,8.0,\N,Force India,2010
14097,353,3,7.0,\N,Williams,2010
14098,353,15,6.0,\N,Sauber,2010
14099,353,5,0.0,\N,Toro Rosso,2010
14100,353,205,0.0,\N,Lotus,2010
14101,353,164,0.0,\N,HRT,2010
14102,353,9,0.0,\N,Red Bull,2010
14103,353,166,0.0,\N,Virgin,2010
14104,354,9,43.0,\N,Red Bull,2010
14105,354,6,15.0,\N,Ferrari,2010
14106,354,1,22.0,\N,McLaren,2010
14107,354,131,14.0,\N,Mercedes,2010
14108,354,3,4.0,\N,Williams,2010
14109,354,4,2.0,\N,Renault,2010
14110,354,15,1.0,\N,Sauber,2010
14111,354,5,0.0,\N,Toro Rosso,2010
14112,354,10,0.0,\N,Force India,2010
14113,354,205,0.0,\N,Lotus,2010
14114,354,166,0.0,\N,Virgin,2010
14115,354,164,0.0,\N,HRT,2010
14116,355,9,29.0,\N,Red Bull,2010
14117,355,1,33.0,\N,McLaren,2010
14118,355,131,12.0,\N,Mercedes,2010
14119,355,4,18.0,\N,Renault,2010
14120,355,6,7.0,\N,Ferrari,2010
14121,355,5,2.0,\N,Toro Rosso,2010
14122,355,15,0.0,\N,Sauber,2010
14123,355,3,0.0,\N,Williams,2010
14124,355,10,0.0,\N,Force India,2010
14125,355,205,0.0,\N,Lotus,2010
14126,355,166,0.0,\N,Virgin,2010
14127,355,164,0.0,\N,HRT,2010
14129,841,9,35.0,\N,Red Bull,2011
14130,841,1,26.0,\N,McLaren,2011
14131,841,4,15.0,\N,Renault,2011
14132,841,6,18.0,\N,Ferrari,2011
14133,841,15,0.0,\N,Sauber,2011
14134,841,5,4.0,\N,Toro Rosso,2011
14135,841,10,3.0,\N,Force India,2011
14136,841,205,0.0,\N,Lotus,2011
14137,841,166,0.0,\N,Virgin,2011
14138,841,3,0.0,\N,Williams,2011
14139,841,131,0.0,\N,Mercedes,2011
14140,842,9,37.0,\N,Red Bull,2011
14141,842,1,22.0,\N,McLaren,2011
14142,842,4,15.0,\N,Renault,2011
14143,842,6,18.0,\N,Ferrari,2011
14144,842,15,6.0,\N,Sauber,2011
14145,842,131,2.0,\N,Mercedes,2011
14146,842,10,1.0,\N,Force India,2011
14147,842,5,0.0,\N,Toro Rosso,2011
14148,842,205,0.0,\N,Lotus,2011
14149,842,166,0.0,\N,Virgin,2011
14150,842,164,0.0,\N,HRT,2011
14151,842,3,0.0,\N,Williams,2011
14152,843,1,37.0,\N,McLaren,2011
14153,843,9,33.0,\N,Red Bull,2011
14154,843,131,14.0,\N,Mercedes,2011
14155,843,6,14.0,\N,Ferrari,2011
14156,843,4,2.0,\N,Renault,2011
14157,843,15,1.0,\N,Sauber,2011
14158,843,10,0.0,\N,Force India,2011
14159,843,3,0.0,\N,Williams,2011
14160,843,5,0.0,\N,Toro Rosso,2011
14161,843,205,0.0,\N,Lotus,2011
14162,843,166,0.0,\N,Virgin,2011
14163,843,164,0.0,\N,HRT,2011
14164,844,9,43.0,\N,Red Bull,2011
14165,844,6,15.0,\N,Ferrari,2011
14166,844,1,20.0,\N,McLaren,2011
14167,844,131,10.0,\N,Mercedes,2011
14168,844,4,10.0,\N,Renault,2011
14169,844,5,2.0,\N,Toro Rosso,2011
14170,844,15,1.0,\N,Sauber,2011
14171,844,10,0.0,\N,Force India,2011
14172,844,3,0.0,\N,Williams,2011
14173,844,205,0.0,\N,Lotus,2011
14174,844,166,0.0,\N,Virgin,2011
14175,844,164,0.0,\N,HRT,2011
14176,845,9,37.0,\N,Red Bull,2011
14177,845,1,33.0,\N,McLaren,2011
14178,845,6,10.0,\N,Ferrari,2011
14179,845,131,14.0,\N,Mercedes,2011
14180,845,4,4.0,\N,Renault,2011
14181,845,15,3.0,\N,Sauber,2011
14182,845,10,0.0,\N,Force India,2011
14183,845,5,0.0,\N,Toro Rosso,2011
14184,845,3,0.0,\N,Williams,2011
14185,845,205,0.0,\N,Lotus,2011
14186,845,166,0.0,\N,Virgin,2011
14187,845,164,0.0,\N,HRT,2011
14188,846,9,37.0,\N,Red Bull,2011
14189,846,6,18.0,\N,Ferrari,2011
14190,846,1,23.0,\N,McLaren,2011
14191,846,15,10.0,\N,Sauber,2011
14192,846,10,6.0,\N,Force India,2011
14193,846,4,4.0,\N,Renault,2011
14194,846,3,2.0,\N,Williams,2011
14195,846,5,1.0,\N,Toro Rosso,2011
14196,846,131,0.0,\N,Mercedes,2011
14197,846,205,0.0,\N,Lotus,2011
14198,846,166,0.0,\N,Virgin,2011
14199,846,164,0.0,\N,HRT,2011
14200,847,1,25.0,\N,McLaren,2011
14201,847,9,33.0,\N,Red Bull,2011
14202,847,131,12.0,\N,Mercedes,2011
14203,847,4,10.0,\N,Renault,2011
14204,847,6,8.0,\N,Ferrari,2011
14205,847,15,6.0,\N,Sauber,2011
14206,847,5,5.0,\N,Toro Rosso,2011
14207,847,3,2.0,\N,Williams,2011
14208,847,164,0.0,\N,HRT,2011
14209,847,166,0.0,\N,Virgin,2011
14210,847,205,0.0,\N,Lotus,2011
14211,847,10,0.0,\N,Force India,2011
14212,848,9,40.0,\N,Red Bull,2011
14213,848,6,28.0,\N,Ferrari,2011
14214,848,1,20.0,\N,McLaren,2011
14215,848,131,6.0,\N,Mercedes,2011
14216,848,5,4.0,\N,Toro Rosso,2011
14217,848,10,2.0,\N,Force India,2011
14218,848,4,1.0,\N,Renault,2011
14219,848,15,0.0,\N,Sauber,2011
14220,848,3,0.0,\N,Williams,2011
14221,848,205,0.0,\N,Lotus,2011
14222,848,166,0.0,\N,Virgin,2011
14223,848,164,0.0,\N,HRT,2011
14224,849,6,35.0,\N,Ferrari,2011
14225,849,9,33.0,\N,Red Bull,2011
14226,849,1,12.0,\N,McLaren,2011
14227,849,131,10.0,\N,Mercedes,2011
14228,849,15,6.0,\N,Sauber,2011
14229,849,4,4.0,\N,Renault,2011
14230,849,5,1.0,\N,Toro Rosso,2011
14231,849,10,0.0,\N,Force India,2011
14232,849,3,0.0,\N,Williams,2011
14233,849,166,0.0,\N,Virgin,2011
14234,849,164,0.0,\N,HRT,2011
14235,849,205,0.0,\N,Lotus,2011
14236,850,1,25.0,\N,McLaren,2011
14237,850,6,28.0,\N,Ferrari,2011
14238,850,9,27.0,\N,Red Bull,2011
14239,850,10,8.0,\N,Force India,2011
14240,850,131,10.0,\N,Mercedes,2011
14241,850,15,2.0,\N,Sauber,2011
14242,850,4,1.0,\N,Renault,2011
14243,850,5,0.0,\N,Toro Rosso,2011
14244,850,3,0.0,\N,Williams,2011
14245,850,205,0.0,\N,Lotus,2011
14246,850,166,0.0,\N,Virgin,2011
14247,850,164,0.0,\N,HRT,2011
14248,851,1,37.0,\N,McLaren,2011
14249,851,9,28.0,\N,Red Bull,2011
14250,851,6,23.0,\N,Ferrari,2011
14251,851,10,6.0,\N,Force India,2011
14252,851,5,5.0,\N,Toro Rosso,2011
14253,851,131,2.0,\N,Mercedes,2011
14254,851,15,0.0,\N,Sauber,2011
14255,851,4,0.0,\N,Renault,2011
14256,851,3,0.0,\N,Williams,2011
14257,851,166,0.0,\N,Virgin,2011
14258,851,164,0.0,\N,HRT,2011
14259,851,205,0.0,\N,Lotus,2011
14260,852,9,43.0,\N,Red Bull,2011
14261,852,1,15.0,\N,McLaren,2011
14262,852,6,16.0,\N,Ferrari,2011
14263,852,131,18.0,\N,Mercedes,2011
14264,852,10,6.0,\N,Force India,2011
14265,852,4,2.0,\N,Renault,2011
14266,852,3,1.0,\N,Williams,2011
14267,852,15,0.0,\N,Sauber,2011
14268,852,205,0.0,\N,Lotus,2011
14269,852,166,0.0,\N,Virgin,2011
14270,852,164,0.0,\N,HRT,2011
14271,852,5,0.0,\N,Toro Rosso,2011
14272,853,9,25.0,\N,Red Bull,2011
14273,853,1,30.0,\N,McLaren,2011
14274,853,6,23.0,\N,Ferrari,2011
14275,853,131,10.0,\N,Mercedes,2011
14276,853,5,7.0,\N,Toro Rosso,2011
14277,853,10,4.0,\N,Force India,2011
14278,853,4,2.0,\N,Renault,2011
14279,853,3,0.0,\N,Williams,2011
14280,853,205,0.0,\N,Lotus,2011
14281,853,166,0.0,\N,Virgin,2011
14282,853,164,0.0,\N,HRT,2011
14283,853,15,0.0,\N,Sauber,2011
14284,854,9,40.0,\N,Red Bull,2011
14285,854,1,28.0,\N,McLaren,2011
14286,854,6,14.0,\N,Ferrari,2011
14287,854,10,12.0,\N,Force India,2011
14288,854,131,6.0,\N,Mercedes,2011
14289,854,15,1.0,\N,Sauber,2011
14290,854,3,0.0,\N,Williams,2011
14291,854,5,0.0,\N,Toro Rosso,2011
14292,854,4,0.0,\N,Renault,2011
14293,854,205,0.0,\N,Lotus,2011
14294,854,166,0.0,\N,Virgin,2011
14295,854,164,0.0,\N,HRT,2011
14296,855,1,35.0,\N,McLaren,2011
14297,855,6,24.0,\N,Ferrari,2011
14298,855,9,27.0,\N,Red Bull,2011
14299,855,131,9.0,\N,Mercedes,2011
14300,855,15,4.0,\N,Sauber,2011
14301,855,4,2.0,\N,Renault,2011
14302,855,10,0.0,\N,Force India,2011
14303,855,3,0.0,\N,Williams,2011
14304,855,5,0.0,\N,Toro Rosso,2011
14305,855,205,0.0,\N,Lotus,2011
14306,855,166,0.0,\N,Virgin,2011
14307,855,164,0.0,\N,HRT,2011
14308,856,9,40.0,\N,Red Bull,2011
14309,856,1,30.0,\N,McLaren,2011
14310,856,6,18.0,\N,Ferrari,2011
14311,856,5,8.0,\N,Toro Rosso,2011
14312,856,131,4.0,\N,Mercedes,2011
14313,856,10,1.0,\N,Force India,2011
14314,856,3,0.0,\N,Williams,2011
14315,856,4,0.0,\N,Renault,2011
14316,856,205,0.0,\N,Lotus,2011
14317,856,15,0.0,\N,Sauber,2011
14318,856,166,0.0,\N,Virgin,2011
14319,856,164,0.0,\N,HRT,2011
14320,857,9,37.0,\N,Red Bull,2011
14321,857,1,24.0,\N,McLaren,2011
14322,857,6,15.0,\N,Ferrari,2011
14323,857,131,18.0,\N,Mercedes,2011
14324,857,5,4.0,\N,Toro Rosso,2011
14325,857,10,2.0,\N,Force India,2011
14326,857,15,1.0,\N,Sauber,2011
14327,857,4,0.0,\N,Renault,2011
14328,857,205,0.0,\N,Lotus,2011
14329,857,3,0.0,\N,Williams,2011
14330,857,166,0.0,\N,Virgin,2011
14331,857,164,0.0,\N,HRT,2011
